Time,Host,File Size,Protocol,Speed (MB/s)
2025-08-20 08:36:03,USA,100MB_file,rsync_hop,4.53
2025-08-20 08:36:33,USA,100MB_file,rsync_ssh_reno,3.79
2025-08-20 08:36:56,USA,10MB_file,rsync_hop,5.56
2025-08-20 08:37:07,USA,10MB_file,rsync_ssh_reno,1.25
2025-08-20 08:40:09,USA,1GB_file,rsync_hop,6.32
2025-08-20 08:41:48,USA,1GB_file,rsync_ssh_reno,10.9
2025-08-20 08:43:02,Europe,100MB_file,rsync_hop,1.97
2025-08-20 08:44:06,Europe,100MB_file,rsync_ssh_reno,1.76
2025-08-20 08:44:35,Europe,10MB_file,rsync_hop,1.6
2025-08-20 08:44:57,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-20 08:53:36,Europe,1GB_file,rsync_ssh_reno,4.91
2025-08-20 08:54:35,Asia,100MB_file,rsync_hop,2.89
2025-08-20 08:55:52,Asia,100MB_file,rsync_ssh_reno,1.43
2025-08-20 08:56:25,Asia,10MB_file,rsync_hop,1.2
2025-08-20 08:56:52,Asia,10MB_file,rsync_ssh_reno,1.86
2025-08-20 09:05:19,USA,100MB_file,rsync_hop,5.6
2025-08-20 09:05:53,USA,100MB_file,rsync_ssh_reno,3.3
2025-08-20 09:06:15,USA,10MB_file,rsync_hop,6.28
2025-08-20 09:06:26,USA,10MB_file,rsync_ssh_reno,1.27
2025-08-20 09:09:12,USA,1GB_file,rsync_hop,6.99
2025-08-20 09:10:45,USA,1GB_file,rsync_ssh_reno,11.65
2025-08-20 09:12:57,Europe,100MB_file,rsync_ssh_reno,1.51
2025-08-20 09:13:28,Europe,10MB_file,rsync_hop,1.36
2025-08-20 09:13:50,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-20 09:23:01,Europe,1GB_file,rsync_ssh_reno,4.22
2025-08-20 09:23:56,Asia,100MB_file,rsync_hop,3.44
2025-08-20 09:25:12,Asia,100MB_file,rsync_ssh_reno,1.43
2025-08-20 09:25:39,Asia,10MB_file,rsync_hop,4.43
2025-08-20 09:26:07,Asia,10MB_file,rsync_ssh_reno,1.86
2025-08-20 09:29:46,Asia,1GB_file,rsync_hop,5.24
2025-08-20 09:34:17,Asia,1GB_file,rsync_ssh_reno,3.88
2025-08-20 09:34:54,USA,100MB_file,rsync_hop,6.87
2025-08-20 09:35:24,USA,100MB_file,rsync_ssh_reno,3.78
2025-08-20 09:35:48,USA,10MB_file,rsync_hop,3.18
2025-08-20 09:35:59,USA,10MB_file,rsync_ssh_reno,1.25
2025-08-20 09:38:54,USA,1GB_file,rsync_hop,6.62
2025-08-20 09:40:39,USA,1GB_file,rsync_ssh_reno,10.17
2025-08-20 09:41:48,Europe,100MB_file,rsync_hop,2.21
2025-08-20 09:42:51,Europe,100MB_file,rsync_ssh_reno,1.8
2025-08-20 09:43:22,Europe,10MB_file,rsync_hop,1.41
2025-08-20 09:43:43,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-20 09:52:34,Europe,1GB_file,rsync_ssh_reno,4.62
2025-08-20 09:53:11,Asia,100MB_file,rsync_hop,7.85
2025-08-20 09:54:29,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 09:54:55,Asia,10MB_file,rsync_hop,4.36
2025-08-20 09:55:23,Asia,10MB_file,rsync_ssh_reno,1.86
2025-08-20 09:58:53,Asia,1GB_file,rsync_hop,5.5
